nazw;X;Y;z_top;z_bot;g_wer
LK86181W/W51/4+016/MK/2w;6512343.75;5690070.74;136.68;136.18;Si2
LK86181W/W51/4+016/MK/2w;6512343.75;5690070.74;134.78;133.58;Si3
LK86181W/W51/4+016/MK/2w;6512343.75;5690070.74;133.58;132.38000000000002;Sa3
LK86181W/W51/4+016/MK/2w;6512343.75;5690070.74;132.38;132.07999999999998;Sa3
LK86181W/W51/4+016/MK/2w;6512343.75;5690070.74;126.58000000000001;125.08000000000001;Sa6
LK86181W/W51/4+016/MK/2w;6512343.75;5690070.74;125.08000000000001;122.58000000000001;Sa6
LK86181W/W51/4+016/MK/2w;6512343.75;5690070.74;122.58000000000001;120.98000000000002;Sa3
LK86181W/W51/4+016/MK/2w;6512343.75;5690070.74;120.98;120.18;Sa3
LK86181W/W51/4+016/MK/2w;6512343.75;5690070.74;120.18;120.18;
LK86181W/W51/4+016/MK/2w;6512343.75;5690070.74;142.38;140.98;Sa1b
LK86181W/W51/4+016/MK/2w;6512343.75;5690070.74;140.98000000000002;139.88000000000002;Sa2
LK86181W/W51/4+016/MK/2w;6512343.75;5690070.74;136.18;134.78;Si3
LK86181W/W51/4+016/MK/2w;6512343.75;5690070.74;132.08;126.58000000000001;Sa3
LK86181W/W51/4+016/MK/8w;6512290.17;5690076.32;144.91;144.71;Hu
LK86181W/W51/4+016/MK/8w;6512290.17;5690076.32;119.91;119.91;
LK86181W/W51/4+016/MK/8w;6512290.17;5690076.32;144.71;144.11;Pt
LK86181W/W51/4+016/MK/8w;6512290.17;5690076.32;144.10999999999999;142.70999999999998;Pt
LK86181W/W51/4+016/MK/8w;6512290.17;5690076.32;142.71;142.41;Sa4b
LK86181W/W51/4+016/MK/8w;6512290.17;5690076.32;142.41;141.10999999999999;Si1
LK86181W/W51/4+016/MK/8w;6512290.17;5690076.32;139.01;138.31;Si2
LK86181W/W51/4+016/MK/8w;6512290.17;5690076.32;135.21;133.51000000000002;Si3
LK86181W/W51/4+016/MK/8w;6512290.17;5690076.32;133.51;131.20999999999998;Sa3
LK86181W/W51/4+016/MK/8w;6512290.17;5690076.32;131.21;128.01000000000002;Sa3
LK86181W/W51/4+016/MK/8w;6512290.17;5690076.32;128.01;125.71;Sa6
LK86181W/W51/4+016/MK/8w;6512290.17;5690076.32;125.71;122.11;Sa6
LK86181W/W51/4+016/MK/8w;6512290.17;5690076.32;122.11;120.91;Sa5
LK86181W/W51/4+016/MK/8w;6512290.17;5690076.32;141.10999999999999;139.70999999999998;Si2
LK86181W/W51/4+016/MK/8w;6512290.17;5690076.32;139.71;139.01000000000002;Sa4b
